街道编号,街道名
01,桂园街道
02,黄贝街道
03,东门街道
04,翠竹街道
05,南湖街道
06,笋岗街道
07,东湖街道
08,莲塘街道
09,东晓街道
10,清水河街道
11,南园街道
12,园岭街道
13,福田街道
14,沙头街道
15,香蜜湖街道
16,梅林街道
17,莲花街道
18,华富街道
19,福保街道
20,华强北街道
21,福田保税区
22,南头街道
23,南山街道
24,沙河街道
25,蛇口街道
26,招商街道
27,粤海街道
28,桃源街道
29,西丽街道
30,前海合作区
31,新安街道
32,西乡街道
33,航城街道
34,福永街道
35,福海街道
36,沙井街道
37,新桥街道
38,松岗街道
39,燕罗街道
40,石岩街道
41,平湖街道
42,坪地街道
43,葵涌街道
44,大鹏街道
45,南澳街道
46,南湾街道
47,坂田街道
48,布吉街道
49,龙城街道
50,龙岗街道
51,横岗街道
52,吉华街道
53,宝龙街道
54,园山街道
55,梅沙街道
56,盐田街道
57,沙头角街道
58,海山街道
59,市保税区（沙头角）
60,市保税区（盐田港）
61,观湖街道
62,民治街道
63,龙华街道
64,大浪街道
65,福城街道
66,观澜街道
67,坪山街道
68,马峦街道
69,碧岭街道
70,石井街道
71,坑梓街道
72,龙田街道
73,深圳市大工业区
74,光明街道
75,公明街道
76,新湖街道
77,凤凰街道
78,玉塘街道
79,马田街道
